KEYWORDS, BEST,GOOD,BAD,EACH WORD ,BETA %%
form,2,1,10,23.076923076923077,3.81
prospectus,0,0,1,000.0,100
related,0,1,4,020.0,0.98
flow,2,1,8,27.272727272727273,100
through,2,6,4,66.66666666666667,1.44
landec,0,2,1,66.66666666666667,0.64
reiterates,0,1,1,050.0,100
guidance,5,9,18,43.75,2.13
lowers,0,1,1,050.0,100
impact,0,1,2,33.333333333333336,1.59
extreme,0,1,1,050.0,100
weather,0,1,1,050.0,100
events,0,1,2,33.333333333333336,100
lndc,0,2,1,66.66666666666667,0.64
common,8,27,29,54.6875,1.39
ibtx,3,0,2,060.0,0.77
ansira,0,2,0,100.0,100
drive,0,3,5,037.5,0.42
customer,2,8,7,58.8235294117647,0.34
loyalty,0,3,1,075.0,100
engagement,0,2,0,100.0,100
amsc,0,2,2,050.0,100
orders,0,6,11,35.294117647058826,1.09
tautachrome,0,0,2,000.0,100
date,0,2,6,025.0,2.47
details,0,2,3,040.0,1.45
cryptotoken,0,0,2,000.0,100
sale,3,14,20,45.945945945945944,0.84
ttcm,0,0,2,000.0,100
spring,1,1,1,66.66666666666667,-0.39
savings,1,1,0,100.0,100
domination,1,1,0,100.0,100
spirit,1,3,0,100.0,100
airlines,2,16,3,85.71428571428571,1.55
eleven,1,1,0,100.0,100
routes,1,1,0,100.0,100
season,2,3,2,71.42857142857143,0.51
hottest,1,1,0,100.0,100
destinations,1,2,0,100.0,100
save,1,2,0,100.0,100
10h56,0,0,2,000.0,100
signe,0,0,2,000.0,100
avec,0,0,2,000.0,100
cemair,0,0,2,000.0,100
commande,0,0,2,000.0,100
deux,0,0,2,000.0,100
nouveaux,0,0,2,000.0,100
avions,0,0,2,000.0,100
q400,0,0,2,000.0,100
expiration,1,1,3,040.0,2.36
tender,1,1,10,16.666666666666668,1.91
offer,2,5,13,035.0,1.91
renewable,1,7,5,61.53846153846154,0.52
participate,3,11,18,43.75,2.48
roth,1,1,1,66.66666666666667,100
industrial,1,7,12,040.0,0.34
cleantech,1,1,0,100.0,100
regi,1,1,0,100.0,100
total,3,4,14,33.333333333333336,1.91
increased,0,3,4,42.857142857142854,3.28
card,3,1,1,080.0,2.29
link,2,6,4,66.66666666666667,-136.97
offers,0,1,2,33.333333333333336,100
vertical,0,1,2,33.333333333333336,1.18
pediapharm,0,1,1,050.0,100
death,1,2,1,075.0,1.01
director,2,9,9,055.0,-0.07
relocation,0,0,1,000.0,100
corporate,5,2,10,41.1764705882353,0.97
headquarters,0,2,3,040.0,-1.0
midtown,0,0,1,000.0,100
manhattan,0,0,1,000.0,100
workday,0,1,1,050.0,2.14
subscription,0,1,3,025.0,0.98
churchill,0,1,0,100.0,100
downs,0,1,0,100.0,100
incorporated,1,2,0,100.0,0.75
fish,0,1,0,100.0,100
aristocrat,0,1,0,100.0,100
chdn,0,1,0,100.0,100
cesca,0,3,2,060.0,0.18
kool,0,3,2,060.0,0.18
aeglea,0,1,0,100.0,100
biotherapeutics,2,7,6,060.0,1.78
doses,1,1,1,66.66666666666667,100
pediatric,0,3,2,060.0,100
arginase,0,1,0,100.0,100
deficiency,0,1,2,33.333333333333336,100
pegzilarginase,0,1,0,100.0,100
aeb1102,0,1,0,100.0,100
agle,0,1,0,100.0,100
univest,0,0,1,000.0,100
uvsp,0,0,1,000.0,100
semtech,0,2,3,040.0,1.62
smtc,0,2,3,040.0,1.62
newtek,0,0,1,000.0,100
rated,0,0,1,000.0,100
small,0,0,5,000.0,1.66
loan,0,6,15,28.571428571428573,1.66
securitization,0,2,5,28.571428571428573,1.66
newt,0,0,1,000.0,100
mobicard,0,2,2,050.0,100
commencement,2,7,4,69.23076923076923,1.43
trading,2,1,4,42.857142857142854,1.71
strategy,2,4,2,075.0,0.97
cryptocurrency,1,5,7,46.15384615384615,-1.0
mobicoin,0,2,2,050.0,100
broadcasting,0,0,1,000.0,100
subsidiary,7,11,24,42.857142857142854,1.33
azteca,0,0,1,000.0,100
america,3,5,12,040.0,1.14
hchc,0,0,1,000.0,100
trius,0,1,0,100.0,100
shareholder,3,7,6,062.5,1.4
turbo,1,0,0,100.0,100
announced,2,5,12,36.8421052631579,1.22
initial,2,3,3,062.5,-1.0
millisecond,1,0,0,100.0,100
create,1,7,10,44.44444444444444,0.8
cloud,2,7,3,075.0,-1.0
connected,1,6,7,050.0,0.97
embedded,0,0,1,000.0,100
microchip,1,3,10,28.571428571428573,0.03
expanded,0,0,4,000.0,0.33
offerings,0,1,2,33.333333333333336,-1.0
mchp,0,0,1,000.0,100
adamis,0,0,1,000.0,100
submits,0,1,4,020.0,-7.64
prior,1,2,2,060.0,100
approval,5,10,20,42.857142857142854,1.26
supplement,0,2,2,050.0,100
version,0,0,1,000.0,100
symjepi,0,0,1,000.0,100
admp,0,0,1,000.0,100
focus,3,8,8,57.89473684210526,2.93
drives,2,10,19,38.70967741935484,1.16
metrics,1,6,6,53.84615384615385,1.41
gulf,1,0,1,050.0,100
coast,0,2,2,050.0,0.72
cowen,0,0,5,000.0,0.24
science,1,9,9,52.63157894736842,-1.0
negotiations,1,5,7,46.15384615384615,1.02
nanoderm,0,4,7,36.36363636363637,1.91
distribution,4,10,15,48.275862068965516,0.95
three,6,13,20,48.717948717948715,1.66
countries,0,4,7,36.36363636363637,1.91
seropositive,0,4,7,36.36363636363637,1.91
aids,0,4,7,36.36363636363637,1.91
etst,0,5,7,41.666666666666664,1.88
advantex,0,0,1,000.0,100
canadian,4,17,24,46.666666666666664,24.12
great,2,5,6,53.84615384615385,0.14
lakes,2,5,5,58.333333333333336,0.14
changes,2,12,20,41.1764705882353,0.3
gldd,2,5,5,58.333333333333336,0.14
nine,0,7,6,53.84615384615385,2.19
months,4,18,21,51.16279069767442,1.15
declares,1,10,13,45.833333333333336,2.19
charters,0,7,7,050.0,0.97
bring,1,7,10,44.44444444444444,2.19
fleet,1,9,11,47.61904761904762,1.76
long,1,10,8,57.89473684210526,2.19
term,2,15,17,050.0,3.28
contracts,1,12,8,61.904761904761905,0.9
minimum,0,8,6,57.142857142857146,2.19
backlog,0,7,7,050.0,0.9
teladoc,0,1,6,14.285714285714286,0.35
tdoc,0,1,4,020.0,0.35
kite,0,0,1,000.0,100
quarterly,3,21,15,61.53846153846154,1.45
tracon,2,0,3,040.0,1.67
trc105,2,0,0,100.0,100
opdivo,1,0,0,100.0,100
lung,1,3,1,080.0,0.73
tcon,2,0,3,040.0,1.67
factors,3,18,24,46.666666666666664,-1.0
influence,3,19,25,46.808510638297875,0.85
indicators,1,4,10,33.333333333333336,-1.0
opportunity,1,5,10,037.5,-1.0
duke,1,3,10,28.571428571428573,0.03
dana,1,3,9,30.76923076923077,0.03
property,2,6,13,38.095238095238095,0.97
time,1,12,20,39.39393939393939,-0.24
cerner,1,3,9,30.76923076923077,0.03
emphasizes,1,4,10,33.333333333333336,-1.0
economic,2,8,26,27.77777777777778,1.16
moneytrac,1,2,10,23.076923076923077,1.05
potsaver,1,2,7,030.0,1.07
networking,1,3,7,36.36363636363637,1.07
cannabis,4,9,25,34.21052631578947,24.12
businesses,2,4,9,040.0,-1.0
gohe,2,2,10,28.571428571428573,1.05
lexagene,0,2,4,33.333333333333336,-1.0
prototype,0,2,5,28.571428571428573,1.09
assembly,0,2,4,33.333333333333336,-1.0
soon,2,5,7,050.0,1.62
fully,0,2,9,18.181818181818183,-1.0
automated,0,3,4,42.857142857142854,1.44
access,0,2,8,020.0,0.33
pathogen,0,2,4,33.333333333333336,-1.0
detection,0,2,4,33.333333333333336,-1.0
landmark,2,3,7,41.666666666666664,0.43
asthma,4,6,14,41.666666666666664,0.43
device,4,8,15,44.44444444444444,-1.0
choice,2,5,8,46.666666666666664,0.43
determines,2,3,7,41.666666666666664,0.43
control,2,11,13,050.0,0.43
transatlantic,0,0,1,000.0,100
drilling,0,3,5,037.5,100
entry,3,8,7,61.111111111111114,5.01
pledge,0,0,2,000.0,-1.0
payment,3,2,13,27.77777777777778,1.43
dividends,2,8,5,66.66666666666667,0.43
preferred,2,8,10,050.0,0.07
liberty,4,3,5,58.333333333333336,-1.0
financing,2,9,12,47.82608695652174,2.73
lease,0,8,4,66.66666666666667,1.01
delivery,1,6,7,050.0,-1.0
airbus,0,1,0,100.0,100
a350,0,1,0,100.0,100
aircraft,0,2,7,22.22222222222222,1.76
malaysia,0,3,0,100.0,100
berhad,0,1,0,100.0,100
chfs,0,6,8,42.857142857142854,3.5
costco,0,1,3,025.0,1.05
wholesale,0,1,3,025.0,1.05
sales,5,14,52,26.760563380281692,0.77
publication,7,11,22,045.0,4.63
summarizes,1,4,5,050.0,1.44
studies,2,7,7,56.25,-0.4
2127107,1,4,5,050.0,1.44
showing,3,5,8,050.0,1.77
tolerability,1,4,6,45.45454545454545,1.44
amplification,1,4,5,050.0,1.44
skeletal,1,4,5,050.0,1.44
muscle,1,4,5,050.0,1.44
response,2,4,5,54.54545454545455,1.02
nerve,1,4,6,45.45454545454545,1.44
activation,1,4,5,050.0,1.44
cytk,1,4,7,41.666666666666664,1.71
umpqua,2,8,16,38.46153846153846,1.04
formation,1,5,8,42.857142857142854,0.76
umpq,1,4,8,38.46153846153846,1.04
portola,0,9,8,52.94117647058823,1.85
betrixaban,0,9,7,56.25,1.31
andexanet,0,7,6,53.84615384615385,1.31
alfa,0,7,6,53.84615384615385,1.31
cerdulatinib,0,7,6,53.84615384615385,1.31
ptla,0,9,7,56.25,1.31
cumulus,0,0,1,000.0,100
restructuring,0,2,4,33.333333333333336,2.49
cmlsq,0,0,1,000.0,100
final,7,5,12,050.0,1.78
oral,5,6,8,57.89473684210526,1.15
prurisol,5,3,5,61.53846153846154,2.4
psoriasis,5,3,5,61.53846153846154,2.4
ipix,5,3,5,61.53846153846154,2.4
reservations,2,5,3,070.0,-136.97
cryptolus,2,5,3,070.0,-136.97
burgeoning,2,5,3,070.0,-136.97
bitcoin,2,6,10,44.44444444444444,2.39
better,0,2,3,040.0,100
ended,4,18,28,044.0,0.2
bosc,0,2,3,040.0,100
magnegas,1,3,22,15.384615384615385,0.34
achieve,1,4,11,31.25,1.19
record,4,16,33,37.735849056603776,1.17
essi,1,2,8,27.272727272727273,1.19
force,1,2,14,17.647058823529413,0.34
adds,1,2,11,21.428571428571427,1.19
executives,1,3,10,28.571428571428573,0.37
accelerate,1,8,14,39.130434782608695,0.2
nathaniel,1,2,8,27.272727272727273,0.21
joins,5,12,30,36.170212765957444,-1.0
innovative,1,4,10,33.333333333333336,4.26
food,2,6,10,44.44444444444444,-0.33
holdings,9,21,44,40.54054054054054,-1.0
ivfh,1,2,8,27.272727272727273,0.21
alliance,3,10,7,065.0,0.54
activision,1,9,2,83.33333333333333,1.55
blizzard,1,9,2,83.33333333333333,1.55
caterpillar,1,9,2,83.33333333333333,1.55
mcdermott,1,10,5,68.75,1.63
international,6,32,30,55.88235294117647,1.73
initiatives,2,15,14,54.83870967741935,-1.0
sustained,2,14,12,57.142857142857146,-1.0
welcomes,0,1,1,050.0,0.84
agency,0,2,1,66.66666666666667,100
vips,0,1,0,100.0,100
signature,1,3,2,66.66666666666667,-0.33
regional,0,1,2,33.333333333333336,-1.0
players,0,1,1,050.0,-1.99
convene,1,1,0,100.0,1.6
showcases,0,1,0,100.0,100
debate,0,1,0,100.0,100
hotel,0,1,1,050.0,0.27
beach,0,1,0,100.0,100
altisource,0,0,1,000.0,100
residential,0,2,2,050.0,100
rental,0,2,3,040.0,100
homes,0,0,4,000.0,1.84
exceeds,0,0,1,000.0,100
resi,0,0,1,000.0,100
titan,1,12,9,59.09090909090909,2.45
machinery,0,5,7,41.666666666666664,2.45
october,0,7,8,46.666666666666664,2.45
titn,0,5,7,41.666666666666664,2.45
inet,0,4,9,30.76923076923077,1.36
regarding,0,7,11,38.888888888888886,0.99
securitized,0,4,9,30.76923076923077,1.36
derivatives,0,4,9,30.76923076923077,1.36
maker,0,4,9,30.76923076923077,1.36
wendel,1,4,7,41.666666666666664,2.15
value,2,8,12,45.45454545454545,1.44
last,2,12,15,48.275862068965516,1.78
portfolios,0,0,2,000.0,100
termination,1,1,5,28.571428571428573,1.73
systematic,0,0,1,000.0,100
plan,4,6,7,58.8235294117647,100
freeze,1,2,3,050.0,-0.86
fundraising,1,2,4,42.857142857142854,-1.0
donation,1,2,3,050.0,-0.86
diabetes,1,3,5,44.44444444444444,2.28
awareness,1,2,3,050.0,-0.86
frzt,1,2,3,050.0,-0.86
applied,0,3,3,050.0,0.99
habitat,0,1,0,100.0,100
humanity,0,1,0,100.0,100
hurricane,0,1,0,100.0,100
recovery,0,1,1,050.0,100
efforts,0,1,1,050.0,-7.64
achaogen,0,6,7,46.15384615384615,1.56
guggenheim,3,7,13,43.47826086956522,-1.0
securities,3,13,29,35.55555555555556,-0.28
boston,2,8,15,040.0,-1.0
healthcare,12,63,64,53.9568345323741,1.82
akao,0,6,7,46.15384615384615,1.56
fintech,2,6,6,57.142857142857146,1.05
select,1,7,6,57.142857142857146,1.24
reduction,3,6,5,64.28571428571429,-2.39
working,1,6,6,53.84615384615385,1.66
deficit,1,6,5,58.333333333333336,1.15
ftec,1,6,5,58.333333333333336,1.15
amphastar,0,1,0,100.0,100
medroxyprogesterone,0,1,0,100.0,100
acetate,0,1,0,100.0,100
injectable,0,1,0,100.0,100
suspension,0,2,1,66.66666666666667,-1.0
amph,0,1,0,100.0,100
perry,1,1,2,050.0,0.64
ellis,1,1,2,050.0,0.64
pery,1,1,2,050.0,0.64
split,1,1,5,28.571428571428573,-1.0
treasury,0,0,1,000.0,100
cannabisnewswire,2,2,10,28.571428571428573,1.05
discussing,2,2,9,30.76923076923077,2.39
marketplace,2,2,11,26.666666666666668,1.92
stmicroelectronics,0,1,0,100.0,100
collaborates,0,3,1,075.0,100
complete,2,7,6,060.0,2.87
stm32,0,1,0,100.0,100
node,0,1,0,100.0,100
solution,1,6,5,58.333333333333336,-0.33
freertos,0,1,0,100.0,100
paris,1,10,4,73.33333333333333,1.43
instruments,0,8,7,53.333333333333336,1.08
makes,3,8,8,57.89473684210526,-0.8
voluntary,0,5,7,41.666666666666664,1.85
prepayment,0,5,6,45.45454545454545,1.09
mksi,0,7,7,050.0,1.08
pennantpark,0,1,1,050.0,100
pnnt,0,0,1,000.0,100
westrock,0,1,0,100.0,100
webcast,0,3,2,060.0,0.85
enbridge,1,1,2,050.0,100
confirms,0,0,1,000.0,100
2020,2,0,7,22.22222222222222,1.71
laurentian,3,2,7,41.666666666666664,0.41
announce,8,24,26,55.172413793103445,1.87
silvercrest,0,8,5,61.53846153846154,0.79
bought,0,8,6,57.142857142857146,4.49
deal,1,11,12,050.0,1.66
placement,8,35,37,53.75,1.67
nabriva,2,2,8,33.333333333333336,-1.0
nbrv,2,2,8,33.333333333333336,-1.0
dorchester,0,0,1,000.0,100
minerals,2,2,6,040.0,1.22
managers,0,0,1,000.0,100
dmlp,0,0,1,000.0,100
1031,0,2,2,050.0,1.73
delaware,0,1,0,100.0,100
statutory,0,1,0,100.0,100
announcement,1,4,2,71.42857142857143,4.42
completed,1,4,6,45.45454545454545,1.73
period,3,11,10,58.333333333333336,0.18
oslo,1,9,11,47.61904761904762,1.27
golp01,0,7,6,53.84615384615385,0.94
avis,0,3,2,060.0,1.6
budget,1,4,4,55.55555555555556,1.6
march,3,7,19,34.48275862068966,-0.24
towards,1,4,9,35.714285714285715,-2.89
mobility,0,1,0,100.0,100
kansas,0,1,0,100.0,100
city,0,4,4,050.0,0.34
pegasystems,0,2,3,040.0,100
earns,0,1,0,100.0,100
award,1,4,9,35.714285714285715,0.84
consecutive,0,5,6,45.45454545454545,100
pega,0,1,1,050.0,100
plexus,0,0,1,000.0,100
presentation,2,5,6,53.84615384615385,-0.08
37th,0,0,1,000.0,100
london,0,3,3,050.0,1.76
plxs,0,0,1,000.0,100
symphony,0,0,1,000.0,100
care,1,4,13,27.77777777777778,-1.63
channel,0,0,1,000.0,100
cherokee,0,0,3,000.0,100
chke,0,0,3,000.0,100
marijuana,2,3,10,33.333333333333336,-1.0
honeyb,1,1,7,22.22222222222222,-12.81
healthy,1,2,7,030.0,1.77
living,1,1,7,22.22222222222222,-12.81
benihemp,1,1,7,22.22222222222222,-12.81
brand,1,1,8,020.0,0.46
pultegroup,0,2,1,66.66666666666667,0.92
bronze,0,1,0,100.0,100
brandon,0,1,0,100.0,100
hall,0,1,0,100.0,100
excellence,0,1,3,025.0,1.76
awards,1,2,4,42.857142857142854,0.83
blended,0,1,0,100.0,100
fagi,2,2,2,66.66666666666667,100
grupo,0,1,0,100.0,100
richard,0,1,0,100.0,100
novo,1,4,8,38.46153846153846,0.61
earn,1,4,8,38.46153846153846,0.61
artemis,1,4,8,38.46153846153846,0.61
biotelemetry,0,6,7,46.15384615384615,0.69
provide,0,8,10,44.44444444444444,1.11
cardiac,0,6,7,46.15384615384615,0.69
apple,0,6,9,040.0,1.05
heart,0,6,8,42.857142857142854,0.69
beat,0,6,7,46.15384615384615,0.69
smart,2,10,18,040.0,-1.0
secondary,0,5,6,45.45454545454545,-1.0
ordinary,0,5,6,45.45454545454545,-1.0
avivagen,2,3,8,38.46153846153846,1.69
totaling,2,3,9,35.714285714285715,1.69
intellipharmaceutics,2,5,5,58.333333333333336,0.63
strengths,2,8,12,45.45454545454545,0.87
generic,2,5,5,58.333333333333336,0.63
focalin,2,5,5,58.333333333333336,0.63
pharmaceutical,4,13,11,60.714285714285715,2.34
ipci,2,5,5,58.333333333333336,0.63
respons,0,2,0,100.0,100
epos,0,1,0,100.0,100
germany,0,1,2,33.333333333333336,100
strengthening,0,5,0,100.0,0.34
position,1,1,2,050.0,100
digitalization,0,1,0,100.0,100
fuelcell,0,1,1,050.0,1.53
toyota,0,1,2,33.333333333333336,0.6
transportation,0,1,2,33.333333333333336,100
fcel,0,1,1,050.0,1.53
regulus,1,5,7,46.15384615384615,0.39
steps,1,5,8,42.857142857142854,0.39
antakori,1,5,7,46.15384615384615,0.39
peru,1,6,7,050.0,4.48
soitec,0,18,8,69.23076923076923,-1.0
substrate,0,9,4,69.23076923076923,-1.0
breakthrough,0,11,5,68.75,-1.0
image,0,11,9,055.0,-1.0
sensing,0,9,5,64.28571428571429,1.92
prognos,1,3,8,33.333333333333336,0.89
raises,1,5,9,040.0,-1.0
predicting,1,3,8,33.333333333333336,0.89
earliest,1,3,8,33.333333333333336,0.89
denbury,2,6,5,61.53846153846154,5.01
note,2,6,5,61.53846153846154,5.01
agreements,3,13,9,064.0,1.37
santa,2,3,3,062.5,1.62
begin,3,4,5,58.333333333333336,0.29
matter,2,3,3,062.5,1.62
weeks,2,3,3,062.5,1.62
silver,2,5,7,050.0,1.9
significant,2,8,12,45.45454545454545,1.9
high,8,11,23,45.23809523809524,-2.39
grade,3,6,10,47.36842105263158,0.96
tailings,2,3,3,062.5,1.62
acquisitions,2,4,6,050.0,0.26
make,2,3,3,062.5,1.62
announcements,2,3,3,062.5,1.62
sfeg,2,3,3,062.5,1.62
capitalising,0,3,7,030.0,0.87
combined,0,3,9,025.0,0.49
kraken,1,1,2,050.0,-1.0
positive,3,13,15,51.61290322580645,-0.32
expects,2,2,6,040.0,0.66
professional,0,0,2,000.0,100
diversity,0,0,2,000.0,100
sells,0,1,3,025.0,1.66
history,0,0,3,000.0,0.34
ipdn,0,0,2,000.0,100
presents,1,1,2,050.0,-1.0
programming,2,0,2,050.0,100
provisioning,2,0,2,050.0,100
security,6,10,15,51.61290322580645,0.54
foundation,2,1,4,42.857142857142854,1.22
expertise,1,0,1,050.0,100
silicon,4,4,4,66.66666666666667,1.91
processes,1,0,1,050.0,100
ecosystem,1,0,2,33.333333333333336,1.84
altair,1,5,6,050.0,-1.0
altr,1,5,6,050.0,-1.0
catalyst,4,4,11,42.10526315789474,1.16
previously,1,3,9,30.76923076923077,1.35
cprx,1,1,9,18.181818181818183,1.81
aegean,5,5,3,76.92307692307692,1.9
marine,5,5,3,76.92307692307692,1.9
secured,6,6,3,080.0,1.62
borrowing,5,5,2,83.33333333333333,1.62
base,5,8,4,76.47058823529412,0.97
multicurrency,5,5,2,83.33333333333333,1.62
revolving,5,5,2,83.33333333333333,1.62
celldex,1,5,5,54.54545454545455,2.46
initiates,3,13,16,050.0,1.73
candidate,1,5,6,050.0,2.46
1140,1,5,5,54.54545454545455,2.46
solid,1,5,5,54.54545454545455,2.46
tumors,1,5,5,54.54545454545455,2.46
cldx,1,5,5,54.54545454545455,2.46
closes,1,5,7,46.15384615384615,1.68
subscribed,0,0,1,000.0,100
convertible,0,2,6,025.0,-1.0
continued,0,9,8,52.94117647058823,0.8
broad,0,9,3,075.0,0.8
strength,0,10,4,71.42857142857143,0.8
across,1,12,4,76.47058823529412,-1.0
geographies,0,9,3,075.0,0.8
ambarella,0,6,6,050.0,0.92
amba,0,6,6,050.0,0.92
fazal,0,4,8,33.333333333333336,1.36
merchant,0,4,8,33.333333333333336,1.36
ryman,0,4,8,33.333333333333336,1.36
hospitality,0,6,9,040.0,-1.0
important,2,2,10,28.571428571428573,1.16
acorda,0,0,6,000.0,1.4
wolf,1,1,10,16.666666666666668,-1.0
haldenstein,1,1,10,16.666666666666668,-1.0
adler,1,1,10,16.666666666666668,-1.0
freeman,1,1,10,16.666666666666668,-1.0
herz,1,1,10,16.666666666666668,-1.0
lawsuit,1,7,15,34.78260869565217,1.22
been,1,2,12,020.0,1.9
court,1,2,10,23.076923076923077,-1.0
southern,1,3,8,33.333333333333336,0.34
york,1,5,9,040.0,0.95
purchased,0,0,5,000.0,100
suffered,1,1,9,18.181818181818183,-1.0
losses,1,3,10,28.571428571428573,-1.0
drill,0,2,4,33.333333333333336,0.96
multiple,0,5,6,45.45454545454545,1.37
intercepts,0,1,1,050.0,100
saddle,0,2,2,050.0,1.17
intersecting,0,1,1,050.0,100
hole,1,1,1,66.66666666666667,0.6
ttd045,0,1,1,050.0,100
uptick,0,3,2,060.0,100
newswire,0,3,2,060.0,100
interviews,0,3,2,060.0,100
progressive,1,4,4,55.55555555555556,-1.63
success,1,3,5,44.44444444444444,-0.7
rxmd,1,2,3,050.0,-1.63
jolla,1,2,2,060.0,2.34
initiation,2,2,5,44.44444444444444,1.04
pivotal,0,2,2,050.0,100
ljpc,1,2,4,42.857142857142854,2.34
beta,0,0,2,000.0,100
thalassemia,0,1,2,33.333333333333336,100
rennova,0,0,2,000.0,100
fork,0,0,2,000.0,100
center,0,2,16,11.11111111111111,1.73
received,0,0,2,000.0,100
payments,0,0,2,000.0,100
provided,0,0,2,000.0,100
ramco,2,5,4,63.63636363636363,0.71
gershenson,2,5,4,63.63636363636363,0.71
reliant,0,1,1,050.0,100
clarifies,0,1,1,050.0,100
press,1,1,1,66.66666666666667,4.87
adding,0,2,2,050.0,-1.37
detailed,1,5,14,030.0,1.16
assay,0,3,1,075.0,2.05
summer,0,1,2,33.333333333333336,-0.39
statement,0,0,7,000.0,1.53
claim,0,0,2,000.0,100
clients,0,0,2,000.0,100
achieving,0,0,2,000.0,100
excess,0,2,3,040.0,100
nanometrics,0,1,1,050.0,100
expansion,2,6,12,040.0,0.97
impulse,0,1,1,050.0,100
integrated,0,9,5,64.28571428571429,0.85
metrology,0,1,1,050.0,100
nand,0,1,1,050.0,100
interconnect,0,1,1,050.0,100
process,0,2,2,050.0,0.24
nano,0,3,1,075.0,1.58
arrivals,0,0,2,000.0,100
fresh,0,0,2,000.0,100
inspiration,0,0,2,000.0,100
tile,0,0,2,000.0,100
shop,0,0,2,000.0,100
introduces,0,0,3,000.0,0.42
more,1,1,12,14.285714285714286,0.34
than,0,2,13,13.333333333333334,0.34
debuts,0,0,2,000.0,100
design,2,3,12,29.41176470588235,0.54
catalog,0,0,2,000.0,100
wabtec,0,1,1,050.0,100
melett,0,1,1,050.0,100
supplier,0,1,1,050.0,100
turbocharger,0,1,1,050.0,100
aftermarket,0,1,1,050.0,100
trinidad,0,1,3,025.0,100
platinex,0,1,2,33.333333333333336,100
sarepta,0,1,4,020.0,2.21
inducement,1,1,5,28.571428571428573,1.56
under,2,2,10,28.571428571428573,-2.39
listing,1,2,5,037.5,100
rule,0,0,4,000.0,100
5635,0,0,4,000.0,100
srpt,0,1,4,020.0,2.21
rush,1,1,0,100.0,100
adopts,1,1,0,100.0,100
repurchase,2,5,4,63.63636363636363,1.39
rusha,1,1,0,100.0,100
atlas,0,0,2,000.0,100
engineered,0,0,2,000.0,100
clinton,0,0,2,000.0,100
truss,0,0,2,000.0,100
located,0,0,2,000.0,100
ontario,0,0,2,000.0,100
otcpk,1,0,1,050.0,100
retirement,1,0,6,14.285714285714286,0.52
majority,1,2,3,050.0,0.99
interdigital,2,0,1,66.66666666666667,0.95
electronics,1,1,1,66.66666666666667,0.73
sign,4,2,6,050.0,2.05
idcc,2,0,1,66.66666666666667,0.95
commercial,2,7,9,050.0,-1.0
columbus,0,0,3,000.0,-0.18
salt,0,0,2,000.0,100
lake,0,3,11,21.428571428571427,0.12
good,0,0,3,000.0,-1.0
ovascience,0,0,4,000.0,100
massachusetts,0,0,3,000.0,100
comprehensive,1,4,7,41.666666666666664,2.49
pharmacy,0,1,4,020.0,-1.37
assistrx,0,0,2,000.0,100
caret,0,0,2,000.0,100
hospital,0,1,2,33.333333333333336,100
selects,2,1,1,075.0,100
medication,0,1,2,33.333333333333336,100
therapy,1,6,11,38.888888888888886,0.73
nationwide,0,0,1,000.0,100
perspectives,1,4,13,27.77777777777778,1.16
tivo,0,0,2,000.0,100
lilly,0,0,2,000.0,100
rigel,0,0,2,000.0,100
spartannash,0,0,2,000.0,100
nustar,0,1,2,33.333333333333336,100
hornbeck,0,0,2,000.0,100
offshore,1,0,3,025.0,100
what,1,5,13,31.57894736842105,1.16
today,4,7,19,36.666666666666664,1.16
competitive,1,4,14,26.31578947368421,1.16
landscape,1,4,13,27.77777777777778,1.16
interstate,1,3,2,66.66666666666667,100
loansphere,1,1,1,66.66666666666667,100
servicing,1,1,1,66.66666666666667,100
relationship,1,1,1,66.66666666666667,100
verisk,1,2,2,060.0,0.75
poweradvocate,1,0,1,050.0,100
vrsk,1,1,1,66.66666666666667,100
globus,2,1,1,075.0,1.08
superiority,2,1,0,100.0,-0.47
acdf,2,0,0,100.0,100
seven,2,0,1,66.66666666666667,1.76
years,2,1,5,037.5,4.63
gmed,2,1,1,075.0,1.08
streetwise,2,4,3,66.66666666666667,100
examines,2,4,3,66.66666666666667,100
permian,1,0,0,100.0,100
basin,1,1,1,66.66666666666667,100
acreage,2,0,0,100.0,100
would,1,0,0,100.0,100
eliminate,2,2,1,080.0,100
capex,1,0,0,100.0,100
retrophin,1,2,2,060.0,0.55
prescriptions,0,1,3,025.0,100
rtrx,1,2,2,060.0,0.55
inspiremd,0,1,1,050.0,100
cguard,0,1,1,050.0,100
australia,0,1,0,100.0,100
zealand,0,1,1,050.0,0.95
vietnam,0,1,0,100.0,100
nspr,0,1,1,050.0,100
washington,2,5,10,41.1764705882353,2.69
reit,1,5,14,030.0,0.24
earnings,1,19,21,48.78048780487805,2.47
calls,0,4,5,44.44444444444444,100
skechers,0,0,4,000.0,100
mustang,0,0,1,000.0,100
harvard,0,0,1,000.0,100
university,0,0,2,000.0,100
collaboration,0,8,11,42.10526315789474,-1.0
beth,0,0,1,000.0,100
israel,0,1,1,050.0,100
deaconess,0,0,1,000.0,100
develop,0,3,4,42.857142857142854,1.68
crispr,0,4,2,66.66666666666667,-1.0
cas9,0,0,1,000.0,100
enhanced,0,0,2,000.0,2.05
therapies,1,7,3,72.72727272727273,0.7
fbio,0,0,1,000.0,100
aton,1,1,2,050.0,-0.47
discovery,1,1,6,025.0,1.9
mineralized,0,0,2,000.0,100
zone,0,0,4,000.0,0.12
bohlog,0,0,2,000.0,100
prospect,0,0,4,000.0,1.9
assays,0,1,2,33.333333333333336,100
